ID,Adhigaram_ID,Paal,Iyal,Adhigaram,Kural,Transliteration,Vilakam,Couplet,Chapter,Section,Athigaram,Kalaingar_Urai,Parimezhalagar_Urai,M_Varadharajanar,Solomon_Pappaiya
1,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அகர முதல எழுத்தெல்லாம் ஆதி<br />பகவன் முதற்றே உலகு.,Akara Mudhala  Ezhuththellaam  Aadhi  Pakavan  Mudhatre  Ulaku,"அகரம் எழுத்துக்களுக்கு முதன்மை; ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை","A, as its first of letters, every speech maintains;  The ""Primal Deity"" is first through all the world's domains",அறத்துப்பால்,1.1,கடவுள் வாழ்த்து,"அகரம்   எழுத்துக்களுக்கு   முதன்மை;  ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை.","எழுத்து எல்லாம் அகரம் முதல - எழுத்துக்கள் எல்லாம் அகரம் ஆகிய முதலை உடையன; உலகு ஆதிபகவன் முதற்று - அது போல உலகம் ஆதிபகவன் ஆகிய முதலை உடைத்து. (இது தலைமை பற்றி வந்த எடுத்துக்காட்டு உவமை. அகரத்திற்குத் தலைமை விகாரத்தான் அன்றி நாதமாத்திரை ஆகிய இயல்பாற் பிறத்தலானும், ஆதிபகவற்குத் தலைமை செயற்கை உணர்வான் அன்றி இயற்கை உணர்வான் முற்றும் உணர்தலானும் கொள்க.தமிழ் எழுத்திற்கே அன்றி வட எழுத்திற்கும் முதலாதல் நோக்கி, 'எழுத்து' எல்லாம் என்றார். ஆதிபகவன் என்னும் இரு பெயரொட்டுப் பண்புத்தொகை வடநூல் முடிபு. 'உலகு' என்றது ஈண்டு உயிர்கள் மேல் நின்றது. காணப்பட்ட உலகத்தால் காணப்படாத கடவுட்கு உண்மை கூற வேண்டுதலின், 'ஆதிபகவன் முதற்றே' என உலகின் மேல் வைத்துக் கூறினார்; கூறினாரேனும், உலகிற்கு முதல் ஆதிபகவன் என்பது கருத்தாகக் கொள்க. ஏகாரம் - தேற்றத்தின்கண் வந்தது. இப்பாட்டான் முதற்கடவுளது உண்மை கூறப்பட்டது.)",எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.,எழுத்துக்கள் எல்லாம் அகரத்தில் தொடங்குகின்றன; (அது போல) உலகம் கடவுளில் தொடங்குகிறது.
2,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,கற்றதனால் ஆய பயனென்கொல் வாலறிவன்<br />நற்றாள் தொழாஅர் எனின்.,Katradhanaal Aaya  Payanenkol  Vaalarivan  Natraal  Thozhaaar  Enin,தன்னைவிட அறிவில் மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும் அதனால் என்ன பயன்? ஒன்றுமில்லை,"No fruit have men of all their studied lore,  Save they the 'Purely Wise One's' feet adore",அறத்துப்பால்,1.2,கடவுள் வாழ்த்து,தன்னைவிட அறிவில்  மூத்த பெருந்தகையாளரின் முன்னே வணங்கி நிற்கும் பண்பு இல்லாவிடில் என்னதான் ஒருவர் கற்றிருந்தாலும்  அதனால்என்ன பயன்? ஒன்றுமில்லை.,"கற்றதனால் ஆய பயன் என் - எல்லா நூல்களையும் கற்றவர்க்கு அக்கல்வி அறிவான் ஆய பயன் யாது?; வால் அறிவன் நல் தாள் தொழாஅர் எனின் - மெய்யுணர்வினை உடையானது நல்ல தாள்களைத் தொழாராயின்? (எவன் என்னும் வினாப்பெயர் என் என்று ஆய், ஈண்டு இன்மை குறித்து நின்றது. 'கொல்' என்பது அசைநிலை. பிறவிப் பிணிக்கு மருந்து ஆகலின் 'நற்றாள்' என்றார். ஆகம அறிவிற்குப் பயன் அவன் தாளைத் தொழுது பிறவியறுத்தல் என்பது இதனான் கூறப்பட்டது.","தூய அறிவு வடிவாக விளங்கும் இறைவனுடைய நல்ல திருவடிகளை தொழாமல் இருப்பாரானால், அவர் கற்ற கல்வியினால் ஆகிய பயன் என்ன?","தூய அறிவு வடிவானவனின் திருவடிகளை வணங்காதவர், படித்ததனால் பெற்ற பயன்தான் என்ன?"
3,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார்<br />நிலமிசை நீடுவாழ் வார்.,Malarmisai Ekinaan  Maanati  Serndhaar  Nilamisai  Neetuvaazh  Vaar,"மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்","His feet, 'Who o'er the full-blown flower hath past,' who gain  In bliss long time shall dwell above this earthly plain",அறத்துப்பால்,1.3,கடவுள் வாழ்த்து,"மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்.","மலர்மிசை ஏகினான் மாண்அடி சேர்ந்தார் - மலரின் கண்ணே சென்றவனது மாட்சிமைப்பட்ட அடிகளைச் சேர்ந்தார்; நிலமிசை நீடுவாழ்வார் - எல்லா உலகிற்கும் மேலாய வீட்டு உலகின்கண் அழிவின்றி வாழ்வார். (அன்பான் நினைவாரது உள்ளக் கமலத்தின்கண் அவர் நினைந்த வடிவோடு விரைந்து சேறலின் 'ஏகினான்' என இறந்த காலத்தால் கூறினார்; என்னை? ""வாராக் காலத்தும் நிகழும் காலத்தும் ஓராங்கு வரூஉம் வினைச் சொற் கிளவி இறந்த காலத்துக் குறிப்பொடு கிளத்தல் விரைந்த பொருள் என்மனார் புலவர்"" (தொல், சொல், வினை, 44) என்பது ஓத்தாகலின். இதனைப் 'பூமேல் நடந்தான்' என்பதோர் பெயர்பற்றிப் பிறிதோர் கடவுட்கு ஏற்றுவாரும் உளர். சேர்தல் - இடைவிடாது நினைத்தல்)","அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்",மனமாகிய மலர்மீது சென்று இருப்பவனாகிய கடவுளின் சிறந்த திருவடிகளை எப்போதும் நினைப்பவர் இப்பூமியில் நெடுங்காலம் வாழ்வர்
4,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு<br />யாண்டும் இடும்பை இல.,Ventudhal Ventaamai  Ilaanati  Serndhaarkku  Yaantum  Itumpai  Ila,விருப்பு வெறுப்பற்றுத் தன்னலமின்றித் திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை,"His foot, 'Whom want affects not, irks not grief,' who gain  Shall not, through every time, of any woes complain",அறத்துப்பால்,1.4,கடவுள் வாழ்த்து,விருப்பு  வெறுப்பற்றுத்  தன்னலமின்றித்   திகழ்கின்றவரைப் பின்பற்றி நடப்பவர்களுக்கு எப்போதுமே துன்பம் ஏற்படுவதில்லை.,"வேண்டுதல் வேண்டாமை இலான் அடி சேர்ந்தார்க்கு - ஒரு பொருளையும் விழைதலும் வெறுத்தலும் இல்லாதவன் அடியைச் சேர்ந்தார்க்கு; யாண்டும் இடும்பை இல - எக்காலத்தும் பிறவித் துன்பங்கள் உளவாகா. (பிறவித் துன்பங்களாவன : தன்னைப் பற்றி வருவனவும், பிற உயிர்களைப் பற்றி வருவனவும், தெய்வத்தைப் பற்றி வருவனவும் என மூவகையான் வரும் துன்பங்கள். அடி சேர்ந்தார்க்கும் அவ்விரண்டும் (வேண்டுதலும் வேண்டாமையும்) இன்மையின், அவை காரணமாக வரும் மூவகைத் துன்பங்களும் இலவாயின.) ",விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை பொருந்தி நினைக்கின்றவர்க்கு எப்போதும் எவ்விடத்திலும் துன்பம் இல்லை,எதிலும் விருப்பு வெறுப்பு இல்லாத கடவுளின் திருவடிகளை மனத்தால் எப்போதும் நினைப்பவருக்கு உலகத் துன்பம் ஒருபோதும் இல்லை
5,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,இருள்சேர் இருவினையும் சேரா இறைவன்<br />பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,Irulser Iruvinaiyum  Seraa  Iraivan  Porulser  Pukazhpurindhaar  Maattu,"இறைவன் என்பதற்குரிய பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்","The men, who on the 'King's' true praised delight to dwell,  Affects not them the fruit of deeds done ill or well",அறத்துப்பால்,1.5,கடவுள் வாழ்த்து,"இறைவன்   என்பதற்குரிய   பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்.","இருள்சேர் இருவினையும் சேரா - மயக்கத்தைப் பற்றி வரும் நல்வினை, தீவினை என்னும் இரண்டு வினையும் உளவாகா; இறைவன் பொருள் சேர் புகழ் புரிந்தார் மாட்டு - இறைவனது மெய்ம்மை சேர்ந்த புகழை விரும்பினாரிடத்து. (இன்ன தன்மைத்து என ஒருவராலும் கூறப்படாமையின் அவிச்சையை 'இருள்' என்றும், நல்வினையும் பிறத்தற்கு ஏதுவாகலான் 'இருவினையும் சேரா' என்றும் கூறினார். இறைமைக் குணங்கள் இலராயினாரை உடையர் எனக்கருதி அறிவிலார் கூறுகின்ற புகழ்கள் பொருள் சேராவாகலின், அவை முற்றவும் உடைய இறைவன் புகழே பொருள் சேர் புகழ் எனப்பட்டது. புரிதல் - எப்பொழுதும் சொல்லுதல்)",கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை,"கடவுளின் மெய்மைப் புகழையே விரும்புபவரிடம் அறியாமை இருளால் வரும் நல்வினை, தீவினை என்னும் இரண்டும் சேருவதில்லை"
6,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க<br />நெறிநின்றார் நீடுவாழ் வார்.,Porivaayil Aindhaviththaan  Poidheer  Ozhukka  Nerinindraar  Neetuvaazh  Vaar,"மெய், வாய், கண், மூக்கு, செவி எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும்","Long live they blest, who 've stood in path from falsehood freed;  His, 'Who quenched lusts that from the sense-gates five proceed'",அறத்துப்பால்,1.6,கடவுள் வாழ்த்து,"மெய், வாய், கண், மூக்கு, செவி  எனும் ஐம்பொறிகளையும் கட்டுப்படுத்திய தூயவனின் உண்மையான  ஒழுக்கமுடைய நெறியைப் பின்பற்றி நிற்பவர்களின் புகழ்வாழ்வு நிலையானதாக அமையும்.","பொறி வாயில் ஐந்து அவித்தான் - மெய், வாய், கண், மூக்கு, செவி என்னும் பொறிகளை வழியாக உடைய ஐந்து அவாவினையும் அறுத்தானது; பொய் தீர் ஒழுக்க நெறி நின்றார்-மெய்யான ஒழுக்க நெறியின்கண் நின்றார், நீடு வாழ்வார் - பிறப்பு இன்றி எக்காலத்தும் ஒரு தன்மையராய் வாழ்வார். (புலன்கள் ஐந்து ஆகலான், அவற்றின்கண் செல்கின்ற அவாவும் ஐந்து ஆயிற்று. ஒழுக்க நெறி ஐந்தவித்தானால் சொல்லப்பட்டமையின், ஆண்டை ஆறனுருபு செய்யுட் கிழமைக்கண் வந்தது. 'கபிலரது பாட்டு' என்பது போல. இவை நான்கு பாட்டானும் இறைவனை நினைத்தலும், வாழ்த்தலும், அவன் நெறி நிற்றலும் செய்தார் வீடு பெறுவர் என்பது கூறப்பட்டது)","ஐம்பொறி வாயிலாக பிறக்கும் வேட்கைகளை அவித்த இறைவனுடைய பொய்யற்ற ஒழுக்க நெறியில் நின்றவர், நிலை பெற்ற நல்வாழ்க்கை வாழ்வர்","மெய், வாய், கண், மூக்கு, செவி ஆகிய ஐந்து பொறிகளின் வழிப் பிறக்கும் தீய ஆசைகளை அழித்து கடவுளின் பொய்யற்ற ஒழுக்க வழியிலே நின்றவர் நெடுங்காலம் வாழ்வார்"
7,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால்<br />மனக்கவலை மாற்றல் அரிது.,Thanakkuvamai Illaadhaan  Thaalserndhaark  Kallaal  Manakkavalai  Maatral  Aridhu,"ஒப்பாரும் மிக்காருமில்லாதவனுடைய அடியொற்றி நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை","Unless His foot, 'to Whom none can compare,' men gain,  'Tis hard for mind to find relief from anxious pain",அறத்துப்பால்,1.7,கடவுள் வாழ்த்து,"ஒப்பாரும்   மிக்காருமில்லாதவனுடைய  அடியொற்றி  நடப்பவர்களைத் தவிர, மற்றவர்களின் மனக்கவலை தீர வழியேதுமில்லை.","தனக்கு உவமை இல்லாதான் தாள்சேர்ந்தார்க்கு அல்லால் - ஒருவாற்றானும் தனக்கு நிகர் இல்லாதவனது தாளைச் சேர்ந்தார்க்கு அல்லது; மனக்கவலை மாற்றல் அரிது - மனத்தின்கண் நிகழும் துன்பங்களை நீக்குதல் உண்டாகாது. (""உறற்பால தீண்டா விடுதலரிது"" (நாலடி.109) என்றாற் போல, ஈண்டு 'அருமை' இன்மைமேல் நின்றது. தாள் சேராதார் பிறவிக்கு ஏது ஆகிய காம வெகுளி மயக்கங்களை மாற்றமாட்டாமையின், பிறந்து இறந்து அவற்றான் வரும் துன்பங்களுள் அழுந்துவர் என்பதாம்.)","தனக்கு ஒப்புமை இல்லாத தலைவனுடைய திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர்க்கு மனக்கவலையை மாற்ற முடியாது","தனக்கு இணையில்லாத கடவுளின் திருவடிகளைச் சேர்ந்தவர்க்கே அன்றி, மற்றவர்களுக்கு மனக்கவலையைப் போக்குவது கடினம்"
8,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால்<br />பிறவாழி நீந்தல் அரிது.,Aravaazhi Andhanan  Thaalserndhaark  Kallaal  Piravaazhi  Neendhal  Aridhu,"அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால், அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி நடப்பவர்க்கேயன்றி, மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக் கடப்பது என்பது எளிதான காரியமல்ல","Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain,  'Tis hard the further bank of being's changeful sea to attain",அறத்துப்பால்,1.8,கடவுள் வாழ்த்து,"அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால்,அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி  நடப்பவர்க்கேயன்றி மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக்  கடப்பது  என்பது எளிதாகாரியமல்ல.","அற ஆழி அந்தணன் தாள் சேர்ந்தார்க்கு அல்லால் - அறக்கடல் ஆகிய அந்தணனது தாள் ஆகிய புணையைச் சேர்ந்தார்க்கல்லது; பிற ஆழி நீந்தல் அரிது. அதனின் பிறவாகிய கடல்களை நீந்தல் அரிது. (அறம், பொருள், இன்பம் என உடன் எண்ணப்பட்ட மூன்றனுள் அறத்தை முன்னர்ப் பிரித்தமையான், ஏனைப் பொருளும், இன்பமும் பிற எனப்பட்டன. பல்வேறு வகைப்பட்ட அறங்கள் எல்லாவற்றையும் தனக்கு வடிவமாக உடையான் ஆகலின், 'அறஆழி' அந்தணன் என்றார். 'அறஆழி' என்பதனைத் தரும சக்கரம் ஆக்கி, 'அதனை உடைய அந்தணன்' என்று உரைப்பாரும் உளர். அப்புணையைச் சேராதார் கரைகாணாது அவற்றுள்ளே அழுந்துவர் ஆகலின், 'நீந்தல் அரிது' என்றார். இஃது ஏகதேச உருவகம்.) ","அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது",அறக்கடலான கடவுளின் திருவடிகளை சேர்ந்தவரே அல்லாமல் மற்றவர் பிறவியாக கடலை நீந்திக் கடப்பது கடினம்
9,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,இயல்கோளில் பொறியில் குணமிலவே எண்குணத்தான்<br />தாளை வணங்காத் தலை.,Kolil Poriyin  Kunamilave  Enkunaththaan  Thaalai  Vanangaath  Thalai,"உடல், கண், காது, மூக்கு, வாய் எனும் ஐம்பொறிகள் இருந்தும், அவைகள் இயங்காவிட்டால் என்ன நிலையோ அதே நிலைதான் ஈடற்ற ஆற்றலும் பண்பும் கொண்டவனை வணங்கி நடக்காதவனின் நிலையும் ஆகும்","Before His foot, 'the Eight-fold Excellence,' with unbent head,  Who stands, like palsied sense, is to all living functions dead",அறத்துப்பால்,1.9,கடவுள் வாழ்த்து,"உடல்,   கண்,  காது,  மூக்கு,  வாய்  எனும்  ஐம்பொறிகள் இருந்தும்,அவைகள்  இயங்காவிட்டால்  என்ன  நிலையோ அதே நிலைதான் ஈடற்றஆற்றலும் பண்பும்  கொண்டவனை  வணங்கி  நடக்காதவனின்  நிலையும்ஆகும்.","கோள் இல் பொறியில் குணம் இல - தத்தமக்கு ஏற்ற புலன்களைக் கொள்கை இல்லாத பொறிகள் போலப் பயன்படுதலுடைய அல்ல; எண் குணத்தான் தாளை வணங்காத் தலை - எண் வகைப்பட்ட குணங்களை உடையானது தாள்களை வணங்காத தலைகள். (எண்குணங்களாவன: தன்வயத்தன் ஆதல், தூய உடம்பினன் ஆதல், இயற்கை உணர்வினன் ஆதல், முற்றும் உணர்தல், இயல்பாகவே பாசங்களின் நீங்குதல், பேரருள் உடைமை, முடிவு இல் ஆற்றல் உடைமை, வரம்பு இல் இன்பம் உடைமை என இவை.இவ்வாறு சைவாகமத்துக் கூறப்பட்டது. 'அணிமா' வை முதலாக உடையன எனவும், 'கடை இலா அறிவை' முதலாக உடையன எனவும் உரைப்பாரும் உளர். காணாத கண் முதலியன போல வணங்காத தலைகள் பயன் இல எனத்தலைமேல் வைத்துக் கூறினார். கூறினாரேனும், இனம்பற்றி வாழ்த்தாத நாக்களும் அவ்வாறே பயன் இல என்பதூஉம் கொள்க. இவை மூன்று பாட்டானும் அவனை நினைத்தலும், வாழ்த்தலும், வணங்கலும் செய்யாவழிப் படும் குற்றம் கூறப்பட்டது.)","கேட்காதசெவி, பார்க்காத கண் போன்ற எண் குணங்களை உடைய கடவுளின் திருவடிகளை வணங்காதவரின் தலைகள் பயனற்றவைகளாம்","எண்ணும் நல்ல குணங்களுக்கு எல்லாம் இருப்பிடமான கடவுளின் திருவடிகளை வணங்காத தலைகள், புலன்கள் இல்லாத பொறிகள்போல, இருந்தும் பயன் இல்லாதவையே"
10,1,அறத்துப்பால்,பாயிரவியல்,கடவுள் வாழ்த்து,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார்<br />இறைவன் அடிசேரா தார்.,Piravip Perungatal  Neendhuvar  Neendhaar  Iraivan  Atiseraa  Thaar,"வாழ்க்கை எனும் பெருங்கடலை நீந்திக் கடக்க முனைவோர், தலையானவனாக இருப்பவனின் அடி தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்","They swim the sea of births, the 'Monarch's' foot who gain;  None others reach the shore of being's mighty main",அறத்துப்பால்,1.10,கடவுள் வாழ்த்து,"வாழ்க்கை   எனும்   பெருங்கடலை   நீந்திக்   கடக்க  முனைவோர், தலையானவனாக   இருப்பவனின்   அடி  தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்.","இறைவன் அடி (சேர்ந்தார்) பிறவிப் பெருங்கடல் நீந்துவர் - இறைவன் அடி என்னும் புணையைச் சேர்ந்தார் பிறவி ஆகிய பெரிய கடலை நீந்துவர்; சேராதார் நீந்தார் - அதனைச் சேராதார் நீந்தமாட்டாராய் அதனுள் அழுந்துவர். (காரண காரியத் தொடர்ச்சியாய் கரை இன்றி வருதலின், 'பிறவிப் பெருங்கடல்' என்றார். சேர்ந்தார் என்பது சொல்லெச்சம். உலகியல்பை நினையாது இறைவன் அடியையே நினைப்பார்க்குப் பிறவி அறுதலும், அவ்வாறன்றி மாறி நினைப்பார்க்குப் அஃது அறாமையும் ஆகிய இரண்டும் இதனான் நியமிக்கப்பட்டன.)",இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது,கடவுளின் திருவடிகளைச் சேர்ந்தவர் பிறவியாகிய பெருங்கடலை நீந்திக் கடப்பர்; மற்றவர் நீந்தவும் மாட்டார்
11,2,அறத்துப்பால்,பாயிரவியல்,வான்சிறப்பு,வான்நின்று உலகம் வழங்கி வருதலால்<br />தான்அமிழ்தம் என்றுணரற் பாற்று.,Vaannindru Ulakam  Vazhangi  Varudhalaal  Thaanamizhdham  Endrunarar  Paatru,உலகத்தை வாழ வைப்பது மழையாக அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது,The world its course maintains through life that rain unfailing gives;  Thus rain is known the true ambrosial food of all that lives,அறத்துப்பால்,2.1,வான் சிறப்பு,உலகத்தை  வாழ   வைப்பது  மழையாக  அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது,"வான்நின்று உலகம் வழங்கி வருதலால் - மழை இடையறாது நிற்ப உலகம் நிலைபெற்று வருதலான்; தான் அமிழ்தம் என்று உணரற்பாற்று - அம்மழை தான் உலகிற்கு அமிழ்தம் என்று உணரும் பான்மையை உடைத்து. ('நிற்ப' என்பது 'நின்று' எனத் திரிந்து நின்றது. 'உலகம்' என்றது ஈண்டு உயிர்களை. அவை நிலைபெற்று வருதலாவது பிறப்பு இடையறாமையின் எஞ்ஞான்றும் உடம்போடு காணப்பட்டு வருதல். அமிழ்தம் உண்டார் சாவாது நிலைபெறுதலின,உலகத்தை நிலைபெறுத்துகின்ற வானை 'அமிழ்தம் என்று உணர்க' என்றார்.)","மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்",உரிய காலத்தில் இடைவிடாது மழை பெய்வதால்தான் உலகம் நிலைபெற்று வருகிறது; அதனால் மழையே அமிழ்தம் எனலாம்
12,2,அறத்துப்பால்,பாயிரவியல்,வான்சிறப்பு,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்<br />துப்பாய தூஉம் மழை.,Thuppaarkkuth Thuppaaya  Thuppaakkith  Thuppaarkkuth  Thuppaaya  Thooum  Mazhai,"யாருக்கு உணவுப் பொருள்களை விளைவித்துத்தர மழை பயன்படுகிறதோ, அவர்களுக்கே அந்த மழை அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது","The rain makes pleasant food for eaters rise;  As food itself, thirst-quenching draught supplies",அறத்துப்பால்,2.2,வான் சிறப்பு,"யாருக்கு   உணவுப்      பொருள்களை    விளைவித்துத்தர   மழை பயன்படுகிறதோ,   அவர்களுக்கே   அந்த  மழை   அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது.","துப்பார்க்குத் துப்பு ஆய துப்பு ஆக்கி - உண்பார்க்கு நல்ல உணவுகளை உளவாக்கி; துப்பார்க்குத் துப்பு ஆயதூஉம் மழை - அவற்றை உண்கின்றார்க்குத் தானும் உணவாய் 16 நிற்பதூஉம் மழை. (தானும் உணவாதலாவது, தண்ணீராய் உண்ணப்படுதல். சிறப்பு உடைய உயர்திணை மேல் வைத்துக் கூறினமையின், அஃறிணைக்கும் இஃது ஒக்கும். இவ்வாறு உயிர்களது பசியையும் நீர்வேட்கையையும் நீக்குதலின் அவை வழங்கி வருதலுடையவாயின என்பதாம்.)","உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்","நல்ல உணவுகளைச் சமைக்கவும், சமைக்கப்பட்ட உணவுகளை உண்பவர்க்கு இன்னுமோர் உணவாகவும் பயன்படுவது மழையே"
13,2,அறத்துப்பால்,பாயிரவியல்,வான்சிறப்பு,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து<br />உள்நின்று உடற்றும் பசி.,Vinindru Poippin  Virineer  Viyanulakaththu  Ulnindru  Utatrum  Pasi,"கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர் பொய்த்து விட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்","If clouds, that promised rain, deceive, and in the sky remain,  Famine, sore torment, stalks o'er earth's vast ocean-girdled plain",அறத்துப்பால்,2.3,வான் சிறப்பு,"கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர்   பொய்த்துவிட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்.","விண் இன்று பொய்ப்பின் - மழை வேண்டுங்காலத்துப் பெய்யாது பொய்க்கும் ஆயின்; விரி நீர் வியன் உலகத்துள் - கடலால் சூழப்பட்ட அகன்ற உலகத்தின்கண்; நின்று உடற்றும் பசி - நிலை பெற்று உயிர்களை வருத்தும் பசி. (கடலுடைத்தாயினும் அதனால் பயன் இல்லை யென்பார், 'விரி நீர் வியன் உலகத்து' என்றார். உணவு இன்மையின் பசியான் உயிர்கள் இறக்கும் என்பதாம்.) ","மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்","உரிய காலத்தே மழை பெய்யாது பொய்க்குமானால், கடல் சூழ்ந்த இப்பேருலகத்தில் வாழும் உயிர்களைப் பசி வருத்தும்"
